transaction_id,transaction_timestamp,amount,customer_id,card_id,device_id,merchant_id,ip_address,product_code,card_network,card_type,email_domain,address_id,country,fraud_label
TX_0000001,2026-01-01T00:00:18.725449+00:00,88.88,C_0320,CARD_0320_A,DEV_HOUSEHOLD_0320,M_0731,192.168.11.71,W,mastercard,debit,icloud.com,ZIP_10320,US,0
TX_0000002,2026-01-01T00:01:02.650516+00:00,352.29,C_2843,CARD_2843_A,DEV_2843_A,M_0903,172.28.1.230,R,mastercard,debit,aol.com,ZIP_10443,US,0
TX_0000003,2026-01-01T00:01:55.620671+00:00,94.35,C_2740,CARD_2740_A,DEV_2740_A,M_0538,192.168.20.241,R,mastercard,debit,outlook.com,ZIP_10340,US,0
TX_0000004,2026-01-01T00:04:01.386978+00:00,49.36,C_3628,CARD_3628_A,DEV_3628_A,M_0370,198.51.100.50,W,mastercard,credit,gmail.com,ZIP_10028,US,0
TX_0000005,2026-01-01T00:05:15.001538+00:00,129.07,C_1173,CARD_1173_A,DEV_1173_A,M_0532,172.24.1.2,H,discover,debit,aol.com,ZIP_10573,US,0
TX_0000006,2026-01-01T00:05:31.164511+00:00,28.68,C_1709,CARD_1709_A,DEV_1709_B,M_0270,192.168.16.210,C,american express,credit,gmail.com,ZIP_10509,US,0
TX_0000007,2026-01-01T00:06:15.967497+00:00,92.88,C_7203,CARD_7203_A,DEV_7203_A,M_0125,192.168.38.204,W,visa,credit,outlook.com,ZIP_10003,US,0
TX_0000008,2026-01-01T00:09:02.648245+00:00,66.08,C_0115,CARD_0115_A,DEV_HOUSEHOLD_0115,M_0086,192.168.10.116,R,american express,credit,hotmail.com,ZIP_10115,US,0
TX_0000009,2026-01-01T00:09:15.869412+00:00,105.5,C_3377,CARD_3377_A,DEV_3377_A,M_0179,192.168.23.128,W,visa,credit,outlook.com,ZIP_10377,US,0
TX_0000010,2026-01-01T00:10:07.308553+00:00,2893.03,C_7407,CARD_7407_A,DEV_7407_A,M_0775,172.28.18.44,C,discover,debit,outlook.com,ZIP_10207,US,0
TX_0000011,2026-01-01T00:11:00.772084+00:00,182.92,C_6341,CARD_6341_A,DEV_6341_A,M_0294,192.168.35.92,H,mastercard,credit,yahoo.com,ZIP_10341,US,0
TX_0000012,2026-01-01T00:11:14.754498+00:00,57.03,C_6880,CARD_6880_A,DEV_6880_A,M_0951,192.168.37.131,H,discover,credit,hotmail.com,ZIP_10280,US,0
TX_0000013,2026-01-01T00:11:30.954837+00:00,59.3,C_4362,CARD_4362_A,DEV_4362_A,M_1034,192.168.27.113,C,discover,credit,outlook.com,ZIP_10162,US,0
TX_0000014,2026-01-01T00:11:51.870765+00:00,90.53,C_6171,CARD_6171_A,DEV_6171_A,M_0991,192.168.34.172,H,american express,debit,hotmail.com,ZIP_10171,US,0
TX_0000015,2026-01-01T00:13:10.088878+00:00,16.14,C_1678,CARD_1678_A,DEV_1678_A,M_0292,192.168.16.179,H,mastercard,debit,hotmail.com,ZIP_10478,US,0
TX_0000016,2026-01-01T00:13:40.660693+00:00,54.45,C_7995,CARD_7995_A,DEV_7995_A,M_0085,192.168.41.246,H,discover,credit,hotmail.com,ZIP_10195,US,0
TX_0000017,2026-01-01T00:16:18.138848+00:00,2.49,C_4919,CARD_4919_A,DEV_4919_A,M_0201,192.168.29.170,H,american express,debit,aol.com,ZIP_10119,US,0
TX_0000018,2026-01-01T00:17:15.241813+00:00,66.16,C_3790,CARD_3790_A,DEV_3790_A,M_1030,192.168.25.41,S,american express,debit,hotmail.com,ZIP_10190,US,0
TX_0000019,2026-01-01T00:17:25.900985+00:00,55.09,C_7720,CARD_7720_A,DEV_7720_A,M_0023,192.168.40.221,R,visa,debit,hotmail.com,ZIP_10520,US,0
TX_0000020,2026-01-01T00:17:53.024921+00:00,70.34,C_2550,CARD_2550_A,DEV_2550_A,M_0476,192.168.20.51,H,visa,debit,gmail.com,ZIP_10150,US,0
TX_0000021,2026-01-01T00:18:09.367738+00:00,63.18,C_4546,CARD_4546_A,DEV_4546_A,M_0913,192.168.28.47,R,mastercard,debit,yahoo.com,ZIP_10346,US,0
TX_0000022,2026-01-01T00:18:45.170713+00:00,120.16,C_5490,CARD_5490_A,DEV_5490_A,M_0583,192.168.31.241,H,visa,credit,gmail.com,ZIP_10090,US,0
TX_0000023,2026-01-01T00:20:05.464979+00:00,24.38,C_7063,CARD_7063_A,DEV_7063_A,M_1097,192.168.38.64,S,discover,debit,gmail.com,ZIP_10463,US,0
TX_0000024,2026-01-01T00:21:57.093424+00:00,0.99,C_2492,CARD_2492_A,DEV_2492_B,M_0404,192.168.19.243,S,visa,debit,gmail.com,ZIP_10092,US,0
TX_0000025,2026-01-01T00:22:28.826023+00:00,46.27,C_2898,CARD_2898_A,DEV_2898_A,M_0088,198.51.100.35,H,american express,debit,hotmail.com,ZIP_10498,US,0
TX_0000026,2026-01-01T00:22:59.912157+00:00,108.07,C_1261,CARD_1261_A,DEV_1261_A,M_0276,172.28.1.246,H,american express,credit,outlook.com,ZIP_10061,US,0
TX_0000027,2026-01-01T00:24:32.551224+00:00,128.21,C_4502,CARD_4502_A,DEV_4502_A,M_0273,172.24.1.29,H,mastercard,debit,gmail.com,ZIP_10302,US,0
TX_0000028,2026-01-01T00:24:45.737486+00:00,1167.87,C_5578,CARD_5578_A,DEV_5578_A,M_0185,198.51.100.19,W,american express,debit,hotmail.com,ZIP_10178,US,0
TX_0000029,2026-01-01T00:25:31.528378+00:00,304.22,C_0368,CARD_0368_A,DEV_NEW_C_0368_605,M_0306,192.168.11.119,W,visa,credit,icloud.com,ZIP_10368,US,0
TX_0000030,2026-01-01T00:26:06.132550+00:00,744.71,C_2214,CARD_2214_A,DEV_2214_A,M_0691,192.168.18.215,W,mastercard,debit,yahoo.com,ZIP_10414,US,0
TX_0000031,2026-01-01T00:26:38.071552+00:00,138.68,C_4471,CARD_4471_A,DEV_4471_A,M_0592,192.168.27.222,W,american express,credit,hotmail.com,ZIP_10271,US,0
TX_0000032,2026-01-01T00:26:50.679134+00:00,48.18,C_0762,CARD_0762_A,DEV_0762_A,M_0286,192.168.13.13,C,american express,debit,gmail.com,ZIP_10162,US,0
TX_0000033,2026-01-01T00:27:32.618310+00:00,766.05,C_6583,CARD_6583_A,DEV_6583_A,M_0965,192.168.36.84,R,american express,credit,aol.com,ZIP_10583,US,0
TX_0000034,2026-01-01T00:29:23.476293+00:00,0.99,C_3082,CARD_3082_A,DEV_3082_A,M_0531,192.168.22.83,C,visa,debit,aol.com,ZIP_10082,US,0
TX_0000035,2026-01-01T00:31:51.570102+00:00,129.99,C_1472,CARD_1472_A,DEV_1472_A,M_0899,192.168.15.223,R,visa,credit,hotmail.com,ZIP_10272,GB,0
TX_0000036,2026-01-01T00:32:16.644808+00:00,29.98,C_2405,CARD_2405_A,DEV_2405_A,M_0056,192.168.19.156,R,visa,debit,hotmail.com,ZIP_10005,US,0
TX_0000037,2026-01-01T00:32:23.251118+00:00,138.64,C_3110,CARD_3110_A,DEV_3110_A,M_0390,192.168.22.111,C,american express,debit,gmail.com,ZIP_10110,US,0
TX_0000038,2026-01-01T00:33:16.743652+00:00,0.99,C_5698,CARD_5698_A,DEV_5698_A,M_0960,192.168.32.199,W,visa,credit,hotmail.com,ZIP_10298,US,0
TX_0000039,2026-01-01T00:33:52.819740+00:00,80.31,C_1312,CARD_1312_A,DEV_1312_A,M_0674,192.168.15.63,H,american express,debit,outlook.com,ZIP_10112,US,0
TX_0000040,2026-01-01T00:36:29.508335+00:00,95.98,C_7975,CARD_7975_A,DEV_7975_A,M_1013,192.168.41.226,S,mastercard,debit,icloud.com,ZIP_10175,US,0
TX_0000041,2026-01-01T00:39:10.621687+00:00,80.87,C_6192,CARD_6192_A,DEV_6192_A,M_0912,192.168.34.193,R,mastercard,debit,aol.com,ZIP_10192,US,0
TX_0000042,2026-01-01T00:40:31.934796+00:00,161.05,C_4039,CARD_4039_A,,M_0579,192.168.26.40,R,visa,debit,icloud.com,ZIP_10439,US,0
TX_0000043,2026-01-01T00:40:51.421804+00:00,73.62,C_7833,CARD_7833_A,DEV_7833_A,M_0694,192.168.41.84,S,discover,debit,outlook.com,ZIP_10033,US,0
TX_0000044,2026-01-01T00:41:21.507556+00:00,147.54,C_3547,CARD_3547_A,DEV_NEW_C_3547_497,M_0648,192.168.24.48,W,mastercard,debit,outlook.com,ZIP_10547,US,0
TX_0000045,2026-01-01T00:41:27.736511+00:00,41.58,C_2758,CARD_2758_B,DEV_2758_A,M_1125,192.168.21.9,S,american express,debit,aol.com,ZIP_10358,GB,0
TX_0000046,2026-01-01T00:41:28.438194+00:00,81.52,C_5960,CARD_5960_A,DEV_5960_A,M_0471,192.168.33.211,H,american express,credit,hotmail.com,ZIP_10560,US,0
TX_0000047,2026-01-01T00:42:40.547447+00:00,177.71,C_7131,CARD_7131_A,DEV_7131_A,M_0904,198.51.100.27,R,visa,debit,hotmail.com,ZIP_10531,US,0
TX_0000048,2026-01-01T00:43:07.406923+00:00,88.06,C_1892,CARD_1892_A,DEV_1892_A,M_1104,172.24.1.9,S,mastercard,credit,yahoo.com,ZIP_10092,US,0
TX_0000049,2026-01-01T00:44:00.421804+00:00,75.77,C_7833,CARD_7833_A,DEV_7833_A,M_1138,192.168.41.84,S,discover,debit,outlook.com,ZIP_10033,US,0
TX_0000050,2026-01-01T00:45:01.425185+00:00,2196.55,C_7260,CARD_7260_A,DEV_7260_A,M_0176,192.168.39.11,C,visa,debit,aol.com,ZIP_10060,US,0
TX_0000051,2026-01-01T00:45:45.867571+00:00,78.06,C_2591,CARD_2591_A,DEV_2591_B,M_0614,192.168.20.92,C,mastercard,debit,yahoo.com,ZIP_10191,US,0
TX_0000052,2026-01-01T00:46:45.866311+00:00,164.69,C_5041,CARD_5041_B,,M_0582,192.168.30.42,R,mastercard,debit,icloud.com,ZIP_10241,US,0
TX_0000053,2026-01-01T00:47:10.000105+00:00,60.78,C_1535,CARD_1535_A,DEV_1535_A,M_0079,192.168.16.36,R,american express,debit,gmail.com,ZIP_10335,US,0
TX_0000054,2026-01-01T00:48:57.579553+00:00,65.17,C_6370,CARD_6370_A,DEV_6370_A,M_0875,172.24.1.42,C,american express,credit,gmail.com,ZIP_10370,US,0
TX_0000055,2026-01-01T00:50:50.303112+00:00,11.52,C_4731,CARD_4731_A,DEV_4731_A,M_0205,192.168.28.232,S,visa,debit,icloud.com,ZIP_10531,US,0
TX_0000056,2026-01-01T00:50:53.399879+00:00,139.47,C_2042,CARD_2042_A,DEV_2042_A,M_1110,192.168.18.43,R,mastercard,debit,aol.com,ZIP_10242,US,0
TX_0000057,2026-01-01T00:50:56.027677+00:00,354.49,C_7571,CARD_7571_A,DEV_7571_A,M_1127,192.168.40.72,S,visa,debit,aol.com,ZIP_10371,US,0
TX_0000058,2026-01-01T00:51:11.258461+00:00,45.66,C_1786,CARD_1786_B,DEV_NEW_C_1786_580,M_1005,198.51.100.21,H,mastercard,debit,hotmail.com,ZIP_10586,US,0
TX_0000059,2026-01-01T00:54:12.328903+00:00,77.11,C_7937,CARD_7937_A,DEV_7937_A,M_0765,172.24.1.16,H,mastercard,credit,outlook.com,ZIP_10137,US,0
TX_0000060,2026-01-01T00:54:28.445510+00:00,677.99,C_1977,CARD_1977_A,DEV_1977_A,M_1150,192.168.17.228,H,mastercard,credit,aol.com,ZIP_10177,US,0
TX_0000061,2026-01-01T00:55:07.850185+00:00,153.05,C_1611,CARD_1611_A,DEV_1611_A,M_0908,192.168.16.112,W,visa,debit,outlook.com,ZIP_10411,US,0
TX_0000062,2026-01-01T00:56:13.176023+00:00,432.47,C_4607,CARD_4607_A,DEV_4607_A,M_0153,172.24.1.17,C,discover,credit,icloud.com,ZIP_10407,US,0
TX_0000063,2026-01-01T00:56:14.365612+00:00,67.99,C_5610,CARD_5610_A,DEV_5610_A,M_0699,192.168.32.111,R,mastercard,debit,gmail.com,ZIP_10210,US,0
TX_0000064,2026-01-01T00:58:08.482915+00:00,65.77,C_5953,CARD_5953_A,DEV_5953_A,M_0592,192.168.33.204,W,mastercard,credit,icloud.com,ZIP_10553,US,0
TX_0000065,2026-01-01T00:58:57.982359+00:00,66.96,C_2904,CARD_2904_A,DEV_2904_A,M_0365,192.168.21.155,H,discover,debit,hotmail.com,ZIP_10504,US,0
TX_0000066,2026-01-01T01:01:04.090312+00:00,152.04,C_3031,CARD_3031_A,DEV_3031_A,M_0854,192.168.22.32,S,mastercard,credit,yahoo.com,ZIP_10031,US,0
TX_0000067,2026-01-01T01:03:23.225356+00:00,57.06,C_0444,CARD_0444_B,DEV_HOUSEHOLD_0124,M_0960,192.168.11.195,W,american express,debit,icloud.com,ZIP_10444,US,0
TX_0000068,2026-01-01T01:04:21.853445+00:00,174.11,C_0011,CARD_0011_A,DEV_HOUSEHOLD_0011,M_0929,192.168.10.12,C,visa,debit,hotmail.com,ZIP_10011,US,0
TX_0000069,2026-01-01T01:06:37.328329+00:00,69.17,C_7177,CARD_7177_A,DEV_7177_A,M_0460,192.168.38.178,C,discover,debit,outlook.com,ZIP_10577,US,0
TX_0000070,2026-01-01T01:07:15.210595+00:00,54.03,C_0151,CARD_0151_A,DEV_HOUSEHOLD_0151,M_0455,172.28.22.133,R,visa,credit,icloud.com,ZIP_10151,US,0
TX_0000071,2026-01-01T01:08:43.338646+00:00,44.47,C_2206,CARD_2206_A,DEV_2206_A,M_0742,192.168.18.207,R,mastercard,credit,hotmail.com,ZIP_10406,US,0
TX_0000072,2026-01-01T01:10:01.649166+00:00,134.07,C_1153,CARD_1153_A,DEV_1153_A,M_1097,192.168.14.154,S,american express,debit,yahoo.com,ZIP_10553,US,0
TX_0000073,2026-01-01T01:12:17.862107+00:00,56.88,C_2335,CARD_2335_A,DEV_2335_A,M_0685,172.28.11.81,S,visa,debit,gmail.com,ZIP_10535,US,0
TX_0000074,2026-01-01T01:12:36.416975+00:00,79.47,C_4088,CARD_4088_A,DEV_4088_A,M_0581,192.168.26.89,C,discover,debit,hotmail.com,ZIP_10488,US,0
TX_0000075,2026-01-01T01:13:46.639209+00:00,107.58,C_2620,CARD_2620_A,DEV_2620_A,M_0028,192.168.20.121,H,visa,credit,hotmail.com,ZIP_10220,US,0
TX_0000076,2026-01-01T01:14:33.921624+00:00,133.47,C_7638,CARD_7638_A,DEV_7638_A,M_0555,198.51.100.23,W,discover,debit,icloud.com,ZIP_10438,US,0
TX_0000077,2026-01-01T01:14:54.985606+00:00,46.35,C_7579,CARD_7579_A,DEV_7579_A,M_0218,192.168.40.80,R,visa,debit,hotmail.com,ZIP_10379,US,0
TX_0000078,2026-01-01T01:15:29.437612+00:00,376.56,C_6467,CARD_6467_A,DEV_6467_A,M_0282,192.168.35.218,W,american express,debit,icloud.com,ZIP_10467,US,0
TX_0000079,2026-01-01T01:16:26.827704+00:00,112.42,C_2876,CARD_2876_A,DEV_2876_A,M_0369,172.28.6.8,W,american express,debit,aol.com,ZIP_10476,US,0
TX_0000080,2026-01-01T01:17:06.639209+00:00,74.02,C_2620,CARD_2620_A,DEV_2620_A,M_1137,192.168.20.121,C,visa,credit,hotmail.com,ZIP_10220,US,0
