transaction_id,transaction_timestamp,amount,customer_id,card_id,device_id,merchant_id,ip_address,product_code,card_network,card_type,email_domain,address_id,country,fraud_label
TX_0000001,2026-01-01T00:00:02.926862+00:00,545.3,C_3480,CARD_3480_A,DEV_3480_A,M_0468,192.168.23.231,H,visa,debit,yahoo.com,ZIP_10480,US,0
TX_0000002,2026-01-01T00:01:11.137116+00:00,1498.66,C_0825,CARD_0825_A,DEV_0825_A,M_0601,192.168.13.76,C,american express,credit,hotmail.com,ZIP_10225,US,0
TX_0000003,2026-01-01T00:02:09.166619+00:00,90.47,C_5587,CARD_5587_A,DEV_5587_A,M_0001,192.168.32.88,W,visa,credit,gmail.com,ZIP_10187,US,0
TX_0000004,2026-01-01T00:03:36.330491+00:00,468.08,C_7370,CARD_7370_A,DEV_7370_A,M_0567,192.168.39.121,H,discover,credit,hotmail.com,ZIP_10170,US,0
TX_0000005,2026-01-01T00:03:49.358858+00:00,130.43,C_4086,CARD_4086_A,DEV_4086_A,M_0396,198.51.100.30,W,discover,debit,outlook.com,ZIP_10486,US,0
TX_0000006,2026-01-01T00:04:51.254407+00:00,59.43,C_5570,CARD_5570_A,DEV_5570_A,M_0067,172.28.17.228,H,mastercard,debit,hotmail.com,ZIP_10170,US,0
TX_0000007,2026-01-01T00:05:15.538318+00:00,128.1,C_1010,CARD_1010_A,,M_0566,192.168.14.11,H,visa,debit,icloud.com,ZIP_10410,US,0
TX_0000008,2026-01-01T00:05:48.024107+00:00,73.75,C_6311,CARD_6311_A,DEV_6311_A,M_0082,192.168.35.62,S,mastercard,debit,outlook.com,ZIP_10311,US,0
TX_0000009,2026-01-01T00:05:48.330491+00:00,14.44,C_7370,CARD_7370_A,DEV_7370_A,M_0779,192.168.39.121,S,discover,credit,hotmail.com,ZIP_10170,US,0
TX_0000010,2026-01-01T00:07:00.137116+00:00,80.09,C_0825,CARD_0825_A,DEV_0825_A,M_0367,192.168.13.76,H,american express,credit,hotmail.com,ZIP_10225,US,0
TX_0000011,2026-01-01T00:07:33.117217+00:00,56.64,C_6487,CARD_6487_A,DEV_6487_A,M_0653,192.168.35.238,H,mastercard,debit,aol.com,ZIP_10487,US,0
TX_0000012,2026-01-01T00:07:38.393189+00:00,385.0,C_0228,CARD_0228_A,DEV_HOUSEHOLD_0228,M_0023,192.168.10.229,C,american express,debit,outlook.com,ZIP_10228,US,0
TX_0000013,2026-01-01T00:07:46.823145+00:00,53.41,C_0974,CARD_0974_A,,M_0378,192.168.13.225,H,mastercard,debit,aol.com,ZIP_10374,US,0
TX_0000014,2026-01-01T00:07:57.296595+00:00,162.63,C_0408,CARD_0408_A,DEV_HOUSEHOLD_0088,M_0574,192.168.11.159,S,american express,credit,aol.com,ZIP_10408,US,0
TX_0000015,2026-01-01T00:08:11.870057+00:00,95.88,C_3417,CARD_3417_A,DEV_3417_A,M_0472,192.168.23.168,W,visa,debit,icloud.com,ZIP_10417,US,0
TX_0000016,2026-01-01T00:09:14.783831+00:00,23.38,C_1862,CARD_1862_A,DEV_1862_A,M_1133,192.168.17.113,W,discover,credit,yahoo.com,ZIP_10062,US,0
TX_0000017,2026-01-01T00:11:01.389547+00:00,76.93,C_6355,CARD_6355_A,,M_0588,192.168.35.106,H,discover,credit,aol.com,ZIP_10355,US,0
TX_0000018,2026-01-01T00:11:13.236801+00:00,96.06,C_5094,CARD_5094_A,DEV_5094_A,M_0598,192.168.30.95,S,visa,debit,hotmail.com,ZIP_10294,US,0
TX_0000019,2026-01-01T00:11:44.633413+00:00,57.41,C_0768,CARD_0768_A,DEV_0768_A,M_0825,192.168.13.19,R,mastercard,debit,outlook.com,ZIP_10168,US,0
TX_0000020,2026-01-01T00:12:52.001600+00:00,68.07,C_7304,CARD_7304_A,DEV_7304_A,M_1044,198.51.100.35,R,american express,debit,aol.com,ZIP_10104,US,0
TX_0000021,2026-01-01T00:12:56.284217+00:00,60.05,C_5147,CARD_5147_A,DEV_5147_A,M_0602,192.168.30.148,H,mastercard,debit,icloud.com,ZIP_10347,US,0
TX_0000022,2026-01-01T00:13:22.998213+00:00,762.37,C_2880,CARD_2880_A,DEV_2880_A,M_0618,198.51.100.9,H,mastercard,credit,outlook.com,ZIP_10480,US,0
TX_0000023,2026-01-01T00:14:52.748496+00:00,71.58,C_0458,CARD_0458_A,DEV_NEW_C_0458_055,M_0218,192.168.11.209,H,mastercard,credit,icloud.com,ZIP_10458,US,0
TX_0000024,2026-01-01T00:14:57.175874+00:00,36.33,C_1407,CARD_1407_A,DEV_NEW_C_1407_303,M_0892,192.168.15.158,H,american express,debit,yahoo.com,ZIP_10207,US,0
TX_0000025,2026-01-01T00:15:14.126572+00:00,2442.43,C_4682,CARD_4682_A,DEV_4682_A,M_0463,198.51.100.47,H,discover,credit,gmail.com,ZIP_10482,US,0
TX_0000026,2026-01-01T00:17:34.439888+00:00,32.17,C_0417,CARD_0417_A,DEV_HOUSEHOLD_0097,M_0872,192.168.11.168,S,mastercard,debit,hotmail.com,ZIP_10417,US,0
TX_0000027,2026-01-01T00:18:02.588615+00:00,108.23,C_1704,CARD_1704_A,DEV_1704_A,M_0150,172.24.1.13,C,visa,debit,gmail.com,ZIP_10504,US,0
TX_0000028,2026-01-01T00:19:12.946897+00:00,57.09,C_6050,CARD_6050_A,DEV_6050_A,M_1193,192.168.34.51,S,discover,debit,outlook.com,ZIP_10050,US,0
TX_0000029,2026-01-01T00:20:02.877587+00:00,57.68,C_6981,CARD_6981_A,DEV_6981_A,M_0706,192.168.37.232,H,mastercard,debit,yahoo.com,ZIP_10381,US,0
TX_0000030,2026-01-01T00:20:05.335455+00:00,57.23,C_5558,CARD_5558_A,DEV_5558_A,M_1179,192.168.32.59,C,discover,debit,icloud.com,ZIP_10158,US,0
TX_0000031,2026-01-01T00:20:21.818958+00:00,75.4,C_0666,CARD_0666_A,DEV_0666_A,M_0517,192.168.12.167,H,visa,credit,yahoo.com,ZIP_10066,US,0
TX_0000032,2026-01-01T00:21:29.137065+00:00,41.22,C_5019,CARD_5019_A,DEV_5019_A,M_1020,192.168.30.20,H,mastercard,debit,aol.com,ZIP_10219,US,0
TX_0000033,2026-01-01T00:21:29.411648+00:00,25.45,C_4500,CARD_4500_A,DEV_4500_A,M_0522,192.168.28.1,C,mastercard,debit,icloud.com,ZIP_10300,US,0
TX_0000034,2026-01-01T00:22:52.893522+00:00,789.26,C_0124,CARD_0124_A,DEV_HOUSEHOLD_0124,M_1080,192.168.10.125,R,discover,debit,yahoo.com,ZIP_10124,CA,0
TX_0000035,2026-01-01T00:23:21.186779+00:00,75.51,C_6358,CARD_6358_A,DEV_NEW_C_6358_254,M_0062,192.168.35.109,H,mastercard,debit,hotmail.com,ZIP_10358,US,0
TX_0000036,2026-01-01T00:23:50.960228+00:00,110.91,C_6503,CARD_6503_A,DEV_6503_A,M_1127,192.168.36.4,C,visa,debit,aol.com,ZIP_10503,US,0
TX_0000037,2026-01-01T00:24:06.323566+00:00,303.55,C_7225,CARD_7225_A,DEV_7225_A,M_0119,192.168.38.226,R,american express,debit,hotmail.com,ZIP_10025,US,0
TX_0000038,2026-01-01T00:25:12.582744+00:00,85.07,C_0388,CARD_0388_A,DEV_HOUSEHOLD_0068,M_0159,192.168.11.139,C,discover,debit,hotmail.com,ZIP_10388,US,0
TX_0000039,2026-01-01T00:25:20.640059+00:00,119.97,C_5497,CARD_5497_A,DEV_5497_A,M_0785,192.168.31.248,R,discover,debit,hotmail.com,ZIP_10097,US,0
TX_0000040,2026-01-01T00:26:49.294888+00:00,43.12,C_1858,CARD_1858_A,DEV_1858_A,M_0001,198.51.100.32,W,american express,debit,hotmail.com,ZIP_10058,US,0
TX_0000041,2026-01-01T00:27:17.397942+00:00,91.81,C_2133,CARD_2133_A,DEV_2133_A,M_0998,192.168.18.134,C,mastercard,debit,aol.com,ZIP_10333,US,0
TX_0000042,2026-01-01T00:28:27.244389+00:00,71.27,C_7055,CARD_7055_A,DEV_7055_A,M_0821,172.28.9.67,H,american express,debit,gmail.com,ZIP_10455,US,0
TX_0000043,2026-01-01T00:29:38.186779+00:00,14.29,C_6358,CARD_6358_A,DEV_NEW_C_6358_254,M_0744,192.168.35.109,C,mastercard,debit,hotmail.com,ZIP_10358,US,0
TX_0000044,2026-01-01T00:29:40.868652+00:00,267.95,C_2669,CARD_2669_A,DEV_2669_A,M_0752,192.168.20.170,H,american express,debit,hotmail.com,ZIP_10269,US,0
TX_0000045,2026-01-01T00:30:13.728578+00:00,75.29,C_7555,CARD_7555_A,DEV_7555_A,M_1172,172.28.4.123,W,mastercard,debit,outlook.com,ZIP_10355,US,0
TX_0000046,2026-01-01T00:31:18.102609+00:00,138.65,C_0201,CARD_0201_A,DEV_HOUSEHOLD_0201,M_0447,192.168.10.202,S,american express,debit,gmail.com,ZIP_10201,US,0
TX_0000047,2026-01-01T00:34:33.089080+00:00,158.41,C_4269,CARD_4269_A,DEV_4269_A,M_0622,198.51.100.36,S,discover,debit,aol.com,ZIP_10069,US,0
TX_0000048,2026-01-01T00:34:55.373947+00:00,520.64,C_7837,CARD_7837_A,DEV_7837_A,M_0784,172.24.1.51,C,mastercard,debit,gmail.com,ZIP_10037,US,0
TX_0000049,2026-01-01T00:36:33.868362+00:00,142.83,C_3102,CARD_3102_A,DEV_3102_A,M_0292,192.168.22.103,H,american express,debit,yahoo.com,ZIP_10102,US,0
TX_0000050,2026-01-01T00:36:47.466674+00:00,53.1,C_7170,CARD_7170_A,,M_0323,192.168.38.171,W,visa,debit,gmail.com,ZIP_10570,US,0
TX_0000051,2026-01-01T00:37:06.430710+00:00,43.09,C_2693,CARD_2693_A,DEV_2693_A,M_0469,198.51.100.43,H,american express,credit,outlook.com,ZIP_10293,US,0
TX_0000052,2026-01-01T00:37:14.280075+00:00,115.65,C_0287,CARD_0287_A,DEV_HOUSEHOLD_0287,M_0019,192.168.11.38,S,visa,debit,hotmail.com,ZIP_10287,US,0
TX_0000053,2026-01-01T00:37:26.257490+00:00,92.63,C_7449,CARD_7449_A,,M_0700,192.168.39.200,H,american express,credit,gmail.com,ZIP_10249,US,0
TX_0000054,2026-01-01T00:38:11.480538+00:00,57.04,C_3399,CARD_3399_A,DEV_3399_A,M_0886,192.168.23.150,W,discover,debit,yahoo.com,ZIP_10399,US,0
TX_0000055,2026-01-01T00:38:52.132209+00:00,66.86,C_6059,CARD_6059_A,DEV_6059_A,M_0851,192.168.34.60,W,mastercard,credit,gmail.com,ZIP_10059,US,0
TX_0000056,2026-01-01T00:39:07.204016+00:00,71.62,C_5341,CARD_5341_A,DEV_5341_A,M_0062,192.168.31.92,H,mastercard,debit,yahoo.com,ZIP_10541,US,0
TX_0000057,2026-01-01T00:40:29.430710+00:00,58.44,C_2693,CARD_2693_A,DEV_2693_A,M_0310,198.51.100.43,S,american express,credit,outlook.com,ZIP_10293,US,0
TX_0000058,2026-01-01T00:40:39.741986+00:00,40.49,C_3696,CARD_3696_A,DEV_3696_A,M_1062,192.168.24.197,W,discover,credit,icloud.com,ZIP_10096,US,0
TX_0000059,2026-01-01T00:40:56.517522+00:00,59.78,C_6000,CARD_6000_A,DEV_6000_B,M_0175,192.168.34.1,R,visa,debit,yahoo.com,ZIP_10000,US,0
TX_0000060,2026-01-01T00:41:55.347211+00:00,135.77,C_3251,CARD_3251_A,,M_0896,192.168.23.2,S,discover,debit,outlook.com,ZIP_10251,US,0
TX_0000061,2026-01-01T00:42:08.342236+00:00,66.6,C_5017,CARD_5017_A,DEV_5017_A,M_0315,192.168.30.18,W,visa,debit,gmail.com,ZIP_10217,US,0
TX_0000062,2026-01-01T00:42:08.425467+00:00,598.24,C_0832,CARD_0832_A,DEV_0832_A,M_0200,192.168.13.83,H,visa,credit,yahoo.com,ZIP_10232,US,0
TX_0000063,2026-01-01T00:42:32.531002+00:00,164.17,C_2525,CARD_2525_A,DEV_2525_A,M_0880,192.168.20.26,S,visa,debit,icloud.com,ZIP_10125,US,0
TX_0000064,2026-01-01T00:42:49.836971+00:00,1407.79,C_0921,CARD_0921_A,DEV_0921_A,M_0756,192.168.13.172,H,visa,credit,aol.com,ZIP_10321,US,0
TX_0000065,2026-01-01T00:43:33.001405+00:00,57.22,C_4971,CARD_4971_A,DEV_4971_A,M_0256,192.168.29.222,W,discover,debit,icloud.com,ZIP_10171,US,0
TX_0000066,2026-01-01T00:43:56.705650+00:00,49.34,C_5218,CARD_5218_A,DEV_5218_A,M_0892,192.168.30.219,H,discover,debit,icloud.com,ZIP_10418,US,0
