transaction_id,transaction_timestamp,amount,customer_id,card_id,device_id,merchant_id,ip_address,product_code,card_network,card_type,email_domain,address_id,country,fraud_label
TX_000001,2026-01-01T00:03:52.996607+00:00,149.39,C_0685,CARD_0685_A,DEV_0685_A,M_086,192.168.12.186,W,american express,debit,yahoo.com,ZIP_10085,US,0
TX_000002,2026-01-01T00:15:24.148284+00:00,37.74,C_0794,CARD_0794_A,DEV_0794_A,M_021,192.168.13.45,R,visa,debit,hotmail.com,ZIP_10194,US,0
TX_000003,2026-01-01T00:22:14.766521+00:00,92.68,C_0129,CARD_0129_A,DEV_0129_A,M_029,172.20.1.200,S,discover,debit,aol.com,ZIP_10129,US,0
TX_000004,2026-01-01T00:33:36.081221+00:00,82.14,C_0354,CARD_0354_A,DEV_0354_A,M_082,192.168.11.105,S,visa,debit,gmail.com,ZIP_10354,US,0
TX_000005,2026-01-01T00:35:18.058941+00:00,77.27,C_0227,CARD_0227_A,DEV_0227_A,M_025,192.168.10.228,H,visa,debit,aol.com,ZIP_10227,US,0
TX_000006,2026-01-01T00:38:37.715173+00:00,46.96,C_0734,CARD_0734_A,DEV_0734_A,M_014,192.168.12.235,C,discover,debit,yahoo.com,ZIP_10134,US,0
TX_000007,2026-01-01T00:43:47.348345+00:00,77.92,C_0677,CARD_0677_A,DEV_0677_A,M_087,192.168.12.178,R,discover,debit,hotmail.com,ZIP_10077,US,0
TX_000008,2026-01-01T00:44:49.604860+00:00,28.74,C_0438,CARD_0438_A,DEV_0438_A,M_028,192.168.11.189,S,visa,credit,aol.com,ZIP_10438,US,0
TX_000009,2026-01-01T00:51:25.606941+00:00,35.46,C_0587,CARD_0587_A,DEV_0587_A,M_030,192.168.12.88,C,discover,debit,gmail.com,ZIP_10587,US,0
TX_000010,2026-01-01T00:54:38.398400+00:00,46.91,C_0472,CARD_0472_A,DEV_0472_A,M_039,192.168.11.223,C,discover,credit,icloud.com,ZIP_10472,US,0
TX_000011,2026-01-01T00:59:42.543528+00:00,43.43,C_0449,CARD_0449_A,DEV_0449_A,M_044,192.168.11.200,H,visa,debit,outlook.com,ZIP_10449,US,0
TX_000012,2026-01-01T01:02:12.451719+00:00,72.53,C_0690,CARD_0690_A,DEV_0690_A,M_119,192.168.12.191,H,discover,debit,hotmail.com,ZIP_10090,US,0
TX_000013,2026-01-01T01:18:14.068836+00:00,28.3,C_0237,CARD_0237_A,DEV_0237_A,M_018,192.168.10.238,C,discover,debit,outlook.com,ZIP_10237,US,0
TX_000014,2026-01-01T01:19:00.069999+00:00,26.04,C_0167,CARD_0167_A,DEV_0167_A,M_038,192.168.10.168,C,visa,debit,aol.com,ZIP_10167,GB,0
TX_000015,2026-01-01T01:19:12.760279+00:00,83.01,C_0560,CARD_0560_A,DEV_0560_A,M_034,192.168.12.61,R,discover,debit,outlook.com,ZIP_10560,US,0
TX_000016,2026-01-01T01:25:00.536021+00:00,56.16,C_0425,CARD_0425_A,DEV_0425_A,M_081,192.168.11.176,W,visa,credit,hotmail.com,ZIP_10425,US,0
TX_000017,2026-01-01T01:31:42.197981+00:00,102.99,C_0389,CARD_0389_A,DEV_0389_A,M_033,192.168.11.140,C,discover,debit,aol.com,ZIP_10389,US,0
TX_000018,2026-01-01T01:34:19.460267+00:00,79.22,C_0522,CARD_0522_A,DEV_0522_A,M_104,192.168.12.23,H,american express,credit,hotmail.com,ZIP_10522,US,0
TX_000019,2026-01-01T01:36:33.481053+00:00,123.76,C_0337,CARD_0337_A,DEV_0337_A,M_008,192.168.11.88,R,visa,debit,aol.com,ZIP_10337,US,0
TX_000020,2026-01-01T01:37:42.042575+00:00,60.92,C_0754,CARD_0754_A,DEV_0754_A,M_038,192.168.13.5,C,visa,debit,yahoo.com,ZIP_10154,US,0
TX_000021,2026-01-01T01:42:44.991771+00:00,101.44,C_0289,CARD_0289_A,DEV_0289_A,M_052,192.168.11.40,C,discover,debit,yahoo.com,ZIP_10289,US,0
TX_000022,2026-01-01T01:58:46.049791+00:00,108.16,C_0650,CARD_0650_A,DEV_0650_A,M_094,192.168.12.151,C,visa,credit,aol.com,ZIP_10050,US,0
TX_000023,2026-01-01T01:59:37.657928+00:00,62.53,C_0062,CARD_0062_A,DEV_0062_A,M_029,192.168.10.63,S,mastercard,debit,aol.com,ZIP_10062,US,0
TX_000024,2026-01-01T02:00:59.570982+00:00,27.47,C_0067,CARD_0067_A,,M_028,172.20.1.10,S,mastercard,debit,hotmail.com,ZIP_10067,US,0
