feature_name,importance,importance_percent,category,source,live_field,derivation,production_candidate,reason
TransactionDT,0.00114746,0.114746,A,Live Transaction Input,transaction_timestamp,int(dt.timestamp()),True,Directly provided in live transaction API request or deterministically transformed from payload.
TransactionAmt,0.0015729,0.15729,A,Live Transaction Input,amount,amount (float),True,Directly provided in live transaction API request or deterministically transformed from payload.
ProductCD__freq,0.00404046,0.404046,A,Live Transaction Input + Precomputed Map,product_code,Frequency lookup of product_code in training frequency map,True,Mapped directly from current live input and encoded via training artifact frequency map.
card1,0.0012411,0.12411,A,Live Transaction Input,card_id,float(card_id) with training median fallback,True,Directly provided in live transaction API request or deterministically transformed from payload.
card2,0.00120623,0.120623,C,External Enrichment / Future Input Field,card_id (BIN lookup),Bank identification sub-code from card BIN table,False,"Feasible if AegisFin adds third-party BIN lookup service, shipping address, or recipient domain input."
card3,0.00325111,0.325111,C,External Enrichment / Future Input Field,card_id (BIN lookup),Card issuing bank country code from BIN lookup,False,"Feasible if AegisFin adds third-party BIN lookup service, shipping address, or recipient domain input."
card4__freq,0.00103859,0.103859,A,Live Transaction Input + Precomputed Map,card_network,"Frequency lookup of card_network (visa, mastercard, etc.)",True,Mapped directly from current live input and encoded via training artifact frequency map.
card5,0.00119401,0.119401,C,External Enrichment / Future Input Field,card_id (BIN lookup),Card category / product code from BIN database,False,"Feasible if AegisFin adds third-party BIN lookup service, shipping address, or recipient domain input."
card6__freq,0.0051968,0.51968,A,Live Transaction Input + Precomputed Map,card_type,"Frequency lookup of card_type (debit, credit)",True,Mapped directly from current live input and encoded via training artifact frequency map.
addr1,0.00119301,0.119301,A,Live Transaction Input,address_id,float(address_id) with training median fallback,True,Directly provided in live transaction API request or deterministically transformed from payload.
addr2,0.00083024,0.083024,C,External Enrichment / Future Input Field,billing_country / shipping_country,Country or state code of billing address,False,"Feasible if AegisFin adds third-party BIN lookup service, shipping address, or recipient domain input."
dist1,0.00117297,0.117297,C,External Enrichment / Future Input Field,"billing_zip, shipping_zip",Geographic distance between billing and delivery address,False,"Feasible if AegisFin adds third-party BIN lookup service, shipping address, or recipient domain input."
dist2,0.00078468,0.078468,C,External Enrichment / Future Input Field,"ip_address, billing_zip",Geographic distance between client IP geo-coordinates and billing zip,False,"Feasible if AegisFin adds third-party BIN lookup service, shipping address, or recipient domain input."
P_emaildomain__freq,0.00137767,0.137767,A,Live Transaction Input + Precomputed Map,email_domain,Frequency lookup of purchaser email domain,True,Mapped directly from current live input and encoded via training artifact frequency map.
R_emaildomain__freq,0.00148877,0.148877,C,External Enrichment / Future Input Field,recipient_email_domain,Frequency lookup of recipient email domain in P2P/transfer flows,False,"Feasible if AegisFin adds third-party BIN lookup service, shipping address, or recipient domain input."
C1,0.00320722,0.320722,D,Proprietary IEEE-CIS Consortium Counts (Obfuscated),None (No live upstream feed exists),Consortium-level entity count features across undisclosed payment networks,False,Anonymous consortium counts with undocumented definitions. Unreliable for live production; should be replaced with explicit Supabase entity metrics.
C2,0.001949,0.1949,D,Proprietary IEEE-CIS Consortium Counts (Obfuscated),None (No live upstream feed exists),Consortium-level entity count features across undisclosed payment networks,False,Anonymous consortium counts with undocumented definitions. Unreliable for live production; should be replaced with explicit Supabase entity metrics.
C3,0.00283201,0.283201,D,Proprietary IEEE-CIS Consortium Counts (Obfuscated),None (No live upstream feed exists),Consortium-level entity count features across undisclosed payment networks,False,Anonymous consortium counts with undocumented definitions. Unreliable for live production; should be replaced with explicit Supabase entity metrics.
C4,0.00261583,0.261583,D,Proprietary IEEE-CIS Consortium Counts (Obfuscated),None (No live upstream feed exists),Consortium-level entity count features across undisclosed payment networks,False,Anonymous consortium counts with undocumented definitions. Unreliable for live production; should be replaced with explicit Supabase entity metrics.
C5,0.00716769,0.716769,D,Proprietary IEEE-CIS Consortium Counts (Obfuscated),None (No live upstream feed exists),Consortium-level entity count features across undisclosed payment networks,False,Anonymous consortium counts with undocumented definitions. Unreliable for live production; should be replaced with explicit Supabase entity metrics.
C6,0.00205832,0.205832,D,Proprietary IEEE-CIS Consortium Counts (Obfuscated),None (No live upstream feed exists),Consortium-level entity count features across undisclosed payment networks,False,Anonymous consortium counts with undocumented definitions. Unreliable for live production; should be replaced with explicit Supabase entity metrics.
C7,0.00134348,0.134348,D,Proprietary IEEE-CIS Consortium Counts (Obfuscated),None (No live upstream feed exists),Consortium-level entity count features across undisclosed payment networks,False,Anonymous consortium counts with undocumented definitions. Unreliable for live production; should be replaced with explicit Supabase entity metrics.
