feature_name,train_legit_mean,train_legit_median,train_legit_std,train_legit_min,train_legit_max,train_legit_nunique,train_fraud_mean,train_fraud_median,train_fraud_std,train_fraud_min,train_fraud_max,train_fraud_nunique,train_has_range_overlap,train_legit_in_fraud_range_count,train_fraud_in_legit_range_count,val_legit_mean,val_legit_median,val_legit_std,val_legit_min,val_legit_max,val_legit_nunique,val_fraud_mean,val_fraud_median,val_fraud_std,val_fraud_min,val_fraud_max,val_fraud_nunique,val_has_range_overlap,val_legit_in_fraud_range_count,val_fraud_in_legit_range_count
amount,140.9934,64.3,412.2083,3.5,3498.12,15775,780.6838,731.63,628.7334,0.99,2398.44,3429,True,54792,3609,159.181,64.85,456.7031,3.5,3496.21,6540,808.9936,746.16,586.5333,0.99,2383.41,900,True,8775,924
product_code_freq,0.1945,0.0648,0.2696,0.0197,0.7432,5,0.6257,0.7432,0.2568,0.0648,0.7432,2,True,32658,4415,0.1903,0.0648,0.2664,0.0197,0.7432,5,0.6062,0.7432,0.2723,0.0648,0.7432,2,True,5162,1065
card_network_freq,0.2436,0.0168,0.2614,0.0115,0.6512,4,0.241,0.0168,0.2613,0.0115,0.6512,4,True,55585,4415,0.2493,0.0168,0.2627,0.0115,0.6512,4,0.2421,0.0168,0.2585,0.0115,0.6512,4,True,8935,1065
card_type_freq,0.6138,0.7425,0.2141,0.2575,0.7425,2,0.6067,0.7425,0.2178,0.2575,0.7425,2,True,55585,4415,0.6137,0.7425,0.2142,0.2575,0.7425,2,0.6009,0.7425,0.2205,0.2575,0.7425,2,True,8935,1065
email_domain_freq,0.1181,0.0765,0.1306,0.0105,0.385,6,0.0984,0.062,0.1075,0.0105,0.385,7,True,55585,4415,0.1182,0.0475,0.1317,0.0105,0.385,6,0.1023,0.062,0.1142,0.0105,0.385,7,True,8935,1065
missing_fields_count,0.0299,0.0,0.1704,0.0,1.0,2,0.0,0.0,0.0,0.0,0.0,1,True,53922,4415,0.0255,0.0,0.1577,0.0,1.0,2,0.0,0.0,0.0,0.0,0.0,1,True,8707,1065
hour,11.4174,11.0,6.9356,0.0,23.0,24,11.3656,11.0,6.924,0.0,23.0,24,True,55585,4415,11.6154,12.0,6.7806,0.0,23.0,24,12.1399,12.0,6.5402,0.0,23.0,24,True,8935,1065
weekday_index,3.0117,3.0,2.0127,0.0,6.0,7,2.8895,3.0,2.05,0.0,6.0,7,True,55585,4415,4.1057,4.0,1.2868,2.0,6.0,5,4.1023,4.0,1.292,2.0,6.0,5,True,8935,1065
is_weekend,0.2907,0.0,0.4541,0.0,1.0,2,0.2684,0.0,0.4431,0.0,1.0,2,True,55585,4415,0.4077,0.0,0.4914,0.0,1.0,2,0.4009,0.0,0.4901,0.0,1.0,2,True,8935,1065
is_night,0.2564,0.0,0.4367,0.0,1.0,2,0.2566,0.0,0.4368,0.0,1.0,2,True,55585,4415,0.2379,0.0,0.4258,0.0,1.0,2,0.1756,0.0,0.3805,0.0,1.0,2,True,8935,1065
day_of_year,14.3717,14.0,7.8904,1.0,28.0,28,18.8897,20.0,5.9479,3.0,28.0,26,True,51751,4415,30.1057,30.0,1.2868,28.0,32.0,5,30.1023,30.0,1.292,28.0,32.0,5,True,8935,1065
time_since_midnight_sec,42909.2556,42668.0,24979.2691,0.0,86399.0,40889,42733.5524,40434.0,24932.1063,11.0,86398.0,4292,True,55578,4415,43614.1902,45091.0,24440.0613,7.0,86395.0,8489,45463.154,46549.0,23476.4203,291.0,86204.0,1049,True,8888,1065
amount_log,4.2052,4.179,0.8729,1.5040773967762742,8.160266787292613,15775,5.5206,6.5966,2.3913,0.688134638736401,7.7829906557762465,3429,True,54792,3609,4.2355,4.1874,0.9352,1.5040773967762742,8.159720786733049,6540,5.8276,6.6163,2.1246,0.688134638736401,7.77670699326417,900,True,8775,924
amount_cents,0.4968,0.5,0.2886,0.0,0.99,100,0.5026,0.5,0.3146,0.0,0.99,100,True,55585,4415,0.4921,0.49,0.2894,0.0,0.99,100,0.4941,0.49,0.3119,0.0,0.99,100,True,8935,1065
is_round_amount,0.0014,0.0,0.0377,0.0,1.0,2,0.0002,0.0,0.015,0.0,1.0,2,True,55585,4415,0.0012,0.0,0.0351,0.0,1.0,2,0.0009,0.0,0.0306,0.0,1.0,2,True,8935,1065
is_zero_cents,0.0106,0.0,0.1023,0.0,1.0,2,0.0741,0.0,0.2619,0.0,1.0,2,True,55585,4415,0.0121,0.0,0.1093,0.0,1.0,2,0.061,0.0,0.2394,0.0,1.0,2,True,8935,1065
customer_tx_count_5m,0.0008,0.0,0.0275,0.0,1.0,2,0.6485,0.0,1.0347,0.0,4.0,5,True,55585,3586,0.0002,0.0,0.015,0.0,1.0,2,0.8113,0.0,1.1263,0.0,4.0,5,True,8935,816
customer_tx_count_1h,0.0109,0.0,0.1091,0.0,5.0,5,1.13,1.0,1.3024,0.0,5.0,6,True,55585,4415,0.0118,0.0,0.1186,0.0,5.0,4,1.3033,1.0,1.3639,0.0,4.0,5,True,8934,1065
customer_tx_count_24h,0.2659,0.0,0.5645,0.0,7.0,8,1.7012,1.0,1.5105,0.0,9.0,10,True,55585,4413,0.2955,0.0,0.652,0.0,8.0,9,1.8601,2.0,1.5407,0.0,9.0,10,True,8935,1064
customer_amount_mean,110.3117,62.1033,192.8292,0.0,3497.93,37727,310.798,250.1025,280.558,0.0,3002.31,4272,True,55571,4415,175.1539,84.1477,198.8444,0.99,1875.05,8858,286.1557,248.7867,203.0406,20.618,1158.1442857142858,1061,True,8892,1065
customer_amount_std,95.3598,12.5077,257.2568,0.0,1735.805,38430,337.3886,295.4643,311.3381,0.0,1679.045,4056,True,55573,4415,221.4038,27.4521,337.8315,0.0,1637.585,8911,382.2788,344.5571,298.123,1.2600000000000016,1312.8517064485998,1062,True,8849,1065
customer_amount_zscore,11.6057,0.0,1108.0951,-2015.4922538731064,257350.2994012031,39984,30.1378,0.9213,922.8971,-1799.9143101968962,54837.86485406149,4064,True,55583,4415,3.8604,-0.3144,31.7925,-109.49543769009536,1338.668429853227,8911,9.671,1.2339,37.5757,-21.1809456464314,764.981760613063,1065,True,8926,1065
customer_amount_ratio,2.4723,1.0,25.8111,0.0021784864984969,3311.158473146736,47714,4.8271,2.0957,15.0151,0.0006027782011122,804.6787406187816,4288,True,55578,4386,1.9657,0.8391,7.7188,0.0031127737448119,174.50961740375865,8935,4.9187,2.6151,7.9263,0.0014196414604194,68.19328147725739,1065,True,8904,1044
customer_is_new,0.1415,0.0,0.3486,0.0,1.0,2,0.029,0.0,0.1678,0.0,1.0,2,True,55585,4415,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,1,True,8935,1065
customer_unique_merchants_24h,0.2538,0.0,0.5032,0.0,4.0,5,0.8566,1.0,0.6821,0.0,3.0,4,True,55578,4415,0.2696,0.0,0.521,0.0,5.0,6,0.9136,1.0,0.6714,0.0,3.0,4,True,8931,1065
customer_unique_devices_24h,0.2228,0.0,0.4255,0.0,3.0,4,0.8301,1.0,0.6411,0.0,3.0,4,True,55585,4415,0.2376,0.0,0.4393,0.0,2.0,3,0.8836,1.0,0.6201,0.0,2.0,3,True,8935,1065
card_tx_count_5m,0.0007,0.0,0.0268,0.0,1.0,2,0.6485,0.0,1.0347,0.0,4.0,5,True,55585,3586,0.0002,0.0,0.015,0.0,1.0,2,0.8113,0.0,1.1263,0.0,4.0,5,True,8935,816
card_tx_count_1h,0.0102,0.0,0.1054,0.0,5.0,5,1.13,1.0,1.3024,0.0,5.0,6,True,55585,4415,0.0111,0.0,0.1158,0.0,5.0,4,1.3033,1.0,1.3639,0.0,4.0,5,True,8934,1065
card_tx_count_24h,0.2503,0.0,0.5508,0.0,7.0,8,1.6963,1.0,1.5093,0.0,9.0,10,True,55585,4413,0.2813,0.0,0.6381,0.0,8.0,9,1.8535,2.0,1.5404,0.0,9.0,10,True,8935,1064
