feature_name,correlation_with_fraud,val_roc_auc_raw,val_pr_auc_raw,stump_threshold,stump_val_roc_auc,stump_val_pr_auc
device_tx_count_1h,0.7329,0.9166,0.8385,0.5,0.9133,0.7773
ip_tx_count_1h,0.7351,0.9165,0.8377,0.5,0.913,0.7734
merchant_tx_count_1h,0.7137,0.9151,0.7841,1.5,0.8421,0.6892
device_tx_count_24h,0.5361,0.8841,0.7105,2.5,0.7587,0.5558
ip_tx_count_24h,0.5332,0.879,0.6967,2.5,0.7582,0.548
customer_merchant_tx_count,0.697,0.8314,0.6844,0.5,0.8297,0.6463
ip_tx_count_5m,0.6101,0.8173,0.6733,0.5,0.8173,0.6727
device_tx_count_5m,0.6102,0.8173,0.6729,0.5,0.8173,0.6718
customer_merchant_is_new,-0.7479,0.8297,0.6463,0.5,0.8297,0.6463
customer_merchant_seen_before,0.7479,0.8297,0.6463,0.5,0.8297,0.6463
amount_sum_last_1h,0.593,0.7957,0.6313,165.349998,0.7957,0.6266
card_tx_count_1h,0.6225,0.7939,0.608,0.5,0.7919,0.5607
customer_tx_count_1h,0.6212,0.7937,0.6065,0.5,0.7916,0.5565
amount,0.3607,0.8922,0.5888,206.509995,0.8922,0.5888
amount_log,0.3078,0.8922,0.5888,5.33518,0.8922,0.5888
amount_sum_last_24h,0.5498,0.8246,0.579,303.320007,0.8231,0.579
transactions_last_15m,0.5817,0.758,0.5627,0.5,0.7576,0.5515
merchant_tx_count_24h,0.4822,0.8485,0.504,5.5,0.6977,0.3219
device_unique_customers_24h,0.5974,0.8504,0.5007,1.5,0.6531,0.38
device_unique_cards_24h,0.5967,0.8501,0.5002,1.5,0.6526,0.3727
customer_tx_count_5m,0.5144,0.7163,0.4924,0.5,0.7163,0.4914
card_tx_count_5m,0.5145,0.7163,0.4924,0.5,0.7163,0.4914
ip_unique_customers_24h,0.5979,0.841,0.486,2.5,0.6415,0.3552
ip_unique_cards_24h,0.5972,0.8407,0.4854,2.5,0.6415,0.3552
card_tx_count_24h,0.491,0.8087,0.4746,1.5,0.7523,0.4057
customer_tx_count_24h,0.4824,0.8071,0.4686,1.5,0.7518,0.3991
customer_amount_ratio,0.0244,0.7611,0.3742,2.20185,0.7589,0.3742
card_amount_ratio,0.0241,0.7579,0.3664,2.20185,0.7551,0.3664
product_code_freq,0.3865,0.8285,0.3043,0.42985,0.8059,0.2912
customer_unique_devices_24h,0.3357,0.7696,0.2979,0.5,0.7555,0.2327
ip_unique_devices_24h,0.363,0.8097,0.2792,0.5,0.8097,0.2792
rapid_transaction_flag,0.3472,0.5789,0.2474,0.5,0.5789,0.2474
customer_unique_merchants_24h,0.2905,0.7608,0.2472,0.5,0.7535,0.23
customer_device_seen_before,-0.119,0.6491,0.2464,0.5,0.6491,0.2464
customer_amount_zscore,0.0044,0.7217,0.2455,0.151943,0.6962,0.1765
card_device_seen_before,-0.1039,0.644,0.2256,0.5,0.644,0.2256
customer_ip_seen_before,-0.1162,0.6379,0.2063,0.5,0.6379,0.2063
card_amount_std,0.2395,0.7335,0.2045,74.05349,0.7335,0.2045
customer_amount_std,0.2348,0.7285,0.2,74.05349,0.7285,0.2
card_ip_seen_before,-0.1018,0.6339,0.1962,0.5,0.6339,0.1962
card_amount_mean,0.2567,0.7055,0.1882,146.031998,0.7055,0.1882
customer_amount_mean,0.2525,0.699,0.1835,146.031998,0.699,0.1835
merchant_amount_mean,0.2062,0.6149,0.1418,178.513687,0.5862,0.128
amount_cents,0.0052,0.5284,0.1368,0.985,0.5284,0.129
email_domain_freq,-0.0397,0.5697,0.123,0.05475,0.5697,0.123
is_zero_cents,0.1353,0.5245,0.1229,0.5,0.5245,0.1229
merchant_amount_std,0.1297,0.539,0.1145,53.876827,0.539,0.1145
card_type_freq,-0.0087,0.5132,0.1092,0.5,0.5132,0.1092
missing_fields_count,-0.0476,0.5128,0.109,0.5,0.5128,0.109
time_since_midnight_sec,-0.0018,0.5042,0.1073,5122.0,0.5042,0.1073
card_is_new,-0.0951,0.5042,0.1073,0.5,0.5042,0.1073
customer_card_seen_before,0.0951,0.5042,0.1073,0.5,0.5042,0.1073
card_network_freq,-0.0026,0.5038,0.1072,0.16865,0.5038,0.1072
is_weekend,-0.0129,0.5034,0.1072,0.5,0.5034,0.1072
weekday_index,-0.0158,0.5012,0.1067,1.5,0.5,0.1065
day_of_year,0.1502,0.5,0.1067,15.5,0.5,0.1065
is_round_amount,-0.0085,0.5001,0.1065,0.5,0.5001,0.1065
customer_is_new,-0.0865,0.5,0.1065,0.5,0.5,0.1065
hour,-0.002,0.491,0.1049,10.5,0.491,0.1049
is_night,0.0001,0.4688,0.102,0.5,0.4688,0.102
ip_is_new,-0.0066,0.4317,0.0951,0.5,0.4317,0.0951
device_is_new,-0.0205,0.4311,0.095,0.5,0.4311,0.095
